Hong Kong,香港,Hong Kong
Lingyuan,凌源市,Liaoning
Panjin,盘锦市,Liaoning
Shenyang,沈阳市,Liaoning
Tieling,铁岭市,Liaoning
Wafangdian,瓦房店市,Liaoning
Xingcheng,兴城市,Liaoning
Xinmin,新民市,Liaoning
Yingkou,营口市,Liaoning
Zhuanghe,庄河市,Liaoning
Guyuan,固原市,Ningxia
Lingwu,灵武市,Ningxia
Qingtongxia,青铜峡市,Ningxia
Shizuishan,石嘴山市,Ningxia
Wuzhong,吴忠市,Ningxia
Yinchuan,银川市,Ningxia
Zhongwei,中卫市,Ningxia
Delingha,德令哈市,Qinghai
Golmud,格尔木市,Qinghai
Haidong,海东市,Qinghai
Mangnai,茫崖市,Qinghai
Xining,西宁市,Qinghai
Yushu,玉树市,Qinghai
Ankang,安康市,Shaanxi
Baoji,宝鸡市,Shaanxi
Binzhou,彬州市,Shaanxi
Hancheng,韩城市,Shaanxi
Hanzhong,汉中市,Shaanxi
Huayin,华阴市,Shaanxi
Shangluo,商洛市,Shaanxi
Shenmu,神木市,Shaanxi
Tongchuan,铜川市,Shaanxi
Weinan,渭南市,Shaanxi
Xi'an,西安市,Shaanxi
Xianyang,咸阳市,Shaanxi
Xingping,兴平市,Shaanxi
Yan'an,延安市,Shaanxi
Yulin,榆林市,Shaanxi
Anqiu,安丘市,Shandong
Binzhou,滨州市,Shandong
Changyi,昌邑市,Shandong
Dezhou,德州市,Shandong
Dongying,东营市,Shandong
Feicheng,肥城市,Shandong
Gaomi,高密市,Shandong
Haiyang,海阳市,Shandong
Heze,菏泽市,Shandong
Jiaozhou,胶州市,Shandong
Jinan,济南市,Shandong
Jining,济宁市,Shandong
Laixi,莱西市,Shandong
Laiyang,莱阳市,Shandong
Laizhou,莱州市,Shandong
Leling,乐陵市,Shandong
Liaocheng,聊城市,Shandong
Linqing,临清市,Shandong
Linyi,临沂市,Shandong
Longkou,龙口市,Shandong
Penglai,蓬莱市,Shandong
Pingdu,平度市,Shandong
Qingdao,青岛市,Shandong
Qingzhou,青州市,Shandong
Qixia,栖霞市,Shandong
Qufu,曲阜市,Shandong
Rizhao,日照市,Shandong
Rongcheng,荣成市,Shandong
Rushan,乳山市,Shandong
Shouguang,寿光市,Shandong
Tai'an,泰安市,Shandong
Tengzhou,滕州市,Shandong
Weifang,潍坊市,Shandong
Weihai,威海市,Shandong
Xintai,新泰市,Shandong
Yantai,烟台市,Shandong
Yucheng,禹城市,Shandong
Zaozhuang,枣庄市,Shandong
Zhaoyuan,招远市,Shandong
Zhucheng,诸城市,Shandong
Zibo,淄博市,Shandong
Zoucheng,邹城市,Shandong
Zouping,邹平市,Shandong
Changzhi,长治市,Shanxi
Datong,大同市,Shanxi
Fenyang,汾阳市,Shanxi
Gaoping,高平市,Shanxi
Gujiao,古交市,Shanxi
Hejin,河津市,Shanxi
Houma,侯马市,Shanxi
Huairen,怀仁市,Shanxi
Huozhou,霍州市,Shanxi
Jiexiu,介休市,Shanxi
Jincheng,晋城市,Shanxi
Jinzhong,晋中市,Shanxi
Linfen,临汾市,Shanxi
Lüliang,吕梁市,Shanxi
Shuozhou,朔州市,Shanxi
Taiyuan,太原市,Shanxi
Xiaoyi,孝义市,Shanxi
Xinzhou,忻州市,Shanxi
Yangquan,阳泉市,Shanxi
Yongji,永济市,Shanxi
Yuncheng,运城市,Shanxi
Yuanping,原平市,Shanxi
Barkam,马尔康市,Sichuan
Bazhong,巴中市,Sichuan
Chengdu,成都市,Sichuan
Chongzhou,崇州市,Sichuan
Dazhou,达州市,Sichuan
Deyang,德阳市,Sichuan
Dujiangyan,都江堰市,Sichuan
Emeishan,峨眉山市,Sichuan
Guang'an,广安市,Sichuan
Guanghan,广汉市,Sichuan
Guangyuan,广元市,Sichuan
Huaying,华蓥市,Sichuan
Jiangyou,江油市,Sichuan
Jianyang,简阳市,Sichuan
Kangding,康定市,Sichuan
Langzhong,阆中市,Sichuan
Leshan,乐山市,Sichuan
Longchang,隆昌市,Sichuan
Luzhou,泸州市,Sichuan
Mianzhu,绵竹市,Sichuan
Meishan,眉山市,Sichuan
Mianyang,绵阳市,Sichuan
Nanchong,南充市,Sichuan
Neijiang,内江市,Sichuan
Panzhihua,攀枝花市,Sichuan
Pengzhou,彭州市,Sichuan
Qionglai,邛崃市,Sichuan
Shifang,什邡市,Sichuan
Suining,遂宁市,Sichuan
Wanyuan,万源市,Sichuan
Xichang,西昌市,Sichuan
Ya'an,雅安市,Sichuan
Yibin,宜宾市,Sichuan
Zigong,自贡市,Sichuan
Ziyang,资阳市,Sichuan
Lhasa,拉萨市,Tibet
Nagqu,那曲市,Tibet
Nyingchi,林芝市,Tibet
Qamdo,昌都市,Tibet
Shannan,山南市,Tibet
Xigazê,日喀则市,Tibet
Aksu,阿克苏市,Xinjiang
Alashankou,阿拉山口市,Xinjiang
Altay,阿勒泰市,Xinjiang
Aral,阿拉尔市,Xinjiang (XPCC)
Artux,阿图什市,Xinjiang
Beitun,北屯市,Xinjiang (XPCC)
Bole,博乐市,Xinjiang
Changji,昌吉市,Xinjiang
Fukang,阜康市,Xinjiang
Hami,哈密市,Xinjiang
Hotan,和田市,Xinjiang
Karamay,克拉玛依市,Xinjiang
Kashgar,喀什市,Xinjiang
Khorgas,霍尔果斯市,Xinjiang
Kokdala,可克达拉市,Xinjiang (XPCC)
Korla,库尔勒市,Xinjiang
Kuytun,奎屯市,Xinjiang
Kunyu,昆玉市,Xinjiang (XPCC)
Shihezi,石河子市,Xinjiang (XPCC)
Shuanghe,双河市,Xinjiang (XPCC)
Tacheng,塔城市,Xinjiang
Tiemenguan,铁门关市,Xinjiang (XPCC)
Tumxuk,图木舒克市,Xinjiang (XPCC)
Turpan,吐鲁番市,Xinjiang
Ürümqi,乌鲁木齐市,Xinjiang
Wujiaqu,五家渠市,Xinjiang (XPCC)
Wusu,乌苏市,Xinjiang
Yining,伊宁市,Xinjiang
Anning,安宁市,Yunnan
Baoshan,保山市,Yunnan
Chuxiong,楚雄市,Yunnan
Dali,大理市,Yunnan
Gejiu,个旧市,Yunnan
Jinghong,景洪市,Yunnan
Kaiyuan,开远市,Yunnan
Kunming,昆明市,Yunnan
Lincang,临沧市,Yunnan
Lijiang,丽江市,Yunnan
Lushui,泸水市,Yunnan
Mangshi,芒市,Yunnan
Mengzi,蒙自市,Yunnan
Mile,弥勒市,Yunnan
Pu'er,普洱市,Yunnan
Qujing,曲靖市,Yunnan
Ruili,瑞丽市,Yunnan
Shangri-La,香格里拉市,Yunnan
Shuifu,水富市,Yunnan
Tengchong,腾冲市,Yunnan
Wenshan,文山市,Yunnan
Xuanwei,宣威市,Yunnan
Yuxi,玉溪市,Yunnan
Zhaotong,昭通市,Yunnan
Cixi,慈溪市,Zhejiang
Dongyang,东阳市,Zhejiang
Haining,海宁市,Zhejiang
Hangzhou,杭州市,Zhejiang
Huzhou,湖州市,Zhejiang
Jiande,建德市,Zhejiang
Jiangshan,江山市,Zhejiang
Jiaxing,嘉兴市,Zhejiang
Jinhua,金华市,Zhejiang
Lanxi,兰溪市,Zhejiang
Linhai,临海市,Zhejiang
Lishui,丽水市,Zhejiang
Longquan,龙泉市,Zhejiang
Ningbo,宁波市,Zhejiang
Pinghu,平湖市,Zhejiang
Quzhou,衢州市,Zhejiang
Ruian,瑞安市,Zhejiang
Shaoxing,绍兴市,Zhejiang
Shengzhou,嵊州市,Zhejiang
Taizhou,台州市,Zhejiang
Tongxiang,桐乡市,Zhejiang
Wenling,温岭市,Zhejiang
Wenzhou,温州市,Zhejiang
Yiwu,义乌市,Zhejiang
Yongkang,永康市,Zhejiang
Yueqing,乐清市,Zhejiang
Yuhuan,玉环市,Zhejiang
Yuyao,余姚市,Zhejiang
Zhoushan,舟山市,Zhejiang
Zhuji,诸暨市,Zhejiang
